Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP0001,Finance,42,1732612,17,36.3,69,No
EMP0002,Marketing,54,894325,15,58.0,64,No
EMP0003,Operations,33,389458,0,39.8,81,No
EMP0004,Marketing,43,463517,19,30.0,71,No
EMP0005,HR,51,1634944,13,49.5,60,No
EMP0006,Marketing,40,1552855,14,36.1,92,Yes
EMP0007,IT,31,737670,18,34.2,79,No
EMP0008,Operations,23,596966,20,50.1,66,No
EMP0009,IT,45,1672561,16,41.5,93,Yes
EMP0010,Marketing,26,1565296,2,39.1,89,No
EMP0011,Finance,25,1134798,3,41.7,38,No
EMP0012,Sales,54,1674666,7,57.0,55,No
EMP0013,Finance,31,1309844,1,36.4,79,No
EMP0014,Marketing,44,909946,12,58.5,81,No
EMP0015,HR,30,1127879,20,31.3,69,No
EMP0016,Sales,51,723215,17,32.6,65,No
EMP0017,Finance,40,954053,7,35.4,94,No
EMP0018,IT,59,1656821,0,58.1,55,No
EMP0019,Sales,25,1372993,20,57.8,83,No
EMP0020,Finance,39,582525,4,38.7,63,No
EMP0021,Marketing,58,1162617,7,56.0,80,No
EMP0022,Operations,44,1267086,10,42.9,58,No
EMP0023,HR,39,792801,17,44.9,83,No
EMP0024,Sales,35,1288210,14,59.6,34,No
EMP0025,Operations,55,1540230,7,53.2,63,No
EMP0026,Sales,47,1072747,20,57.8,53,No
EMP0027,HR,50,1475522,0,59.7,55,No
EMP0028,Sales,55,481595,8,50.6,67,No
EMP0029,IT,25,1395255,13,33.8,44,No
EMP0030,Operations,30,305641,11,31.9,69,No
EMP0031,Sales,48,447390,17,30.1,68,No
EMP0032,Finance,35,729631,17,39.9,48,No
EMP0033,Finance,36,1461989,1,43.1,100,No
EMP0034,IT,51,1391650,17,33.0,70,No
EMP0035,Finance,37,1314215,18,34.9,71,No
EMP0036,HR,40,1429625,5,35.4,61,No
EMP0037,Sales,28,371581,11,35.5,53,No
EMP0038,IT,52,689850,10,46.4,46,No
EMP0039,IT,44,497501,5,43.2,70,No
EMP0040,Sales,40,1795754,17,39.0,59,No
EMP0041,Marketing,44,1425410,4,43.6,45,No
EMP0042,Operations,32,1536436,4,55.8,76,No
EMP0043,Operations,22,928060,11,33.6,76,No
EMP0044,Sales,32,905366,8,30.3,52,No
EMP0045,Sales,25,733676,14,40.2,39,No
EMP0046,Sales,39,1110196,1,54.8,85,No
EMP0047,Marketing,55,1684652,20,49.5,54,No
EMP0048,Sales,26,736007,7,32.6,68,No
EMP0049,HR,30,1790786,15,41.8,91,Yes
EMP0050,Finance,29,1758923,16,54.3,63,No
EMP0051,HR,32,1611480,6,52.5,70,No
EMP0052,Operations,55,1523311,4,37.7,61,No
EMP0053,IT,47,1146201,5,43.6,63,No
EMP0054,Finance,28,968740,11,33.6,78,No
EMP0055,Sales,29,1613788,19,38.0,73,No
EMP0056,IT,51,1545242,3,53.8,62,No
EMP0057,HR,25,614319,10,41.3,59,No
EMP0058,HR,22,1019583,16,41.9,77,No
EMP0059,Finance,43,1573350,16,38.6,72,No
EMP0060,HR,42,1303645,0,44.9,87,No
EMP0061,Sales,35,1026429,16,41.6,76,No
EMP0062,Finance,25,692527,5,57.8,82,No
EMP0063,IT,29,1487693,7,47.0,39,No
EMP0064,HR,25,734347,10,48.8,78,No
EMP0065,Marketing,50,981010,8,52.7,52,No
EMP0066,Operations,54,1690783,3,48.3,76,No
EMP0067,IT,39,1034268,14,47.6,98,Yes
EMP0068,HR,33,321742,13,31.8,66,No
EMP0069,HR,58,1139919,2,33.0,59,No
EMP0070,Operations,59,618472,5,58.1,85,No
EMP0071,Finance,27,753823,7,56.3,76,No
EMP0072,IT,32,1122178,12,52.4,81,No
EMP0073,Marketing,56,1398919,3,43.9,46,No
EMP0074,HR,55,1388549,13,58.5,53,No
EMP0075,Marketing,31,1032377,11,41.7,68,No
EMP0076,Sales,48,769170,15,57.8,71,No
EMP0077,Marketing,44,465352,19,45.7,77,No
EMP0078,HR,43,893381,14,31.7,60,No
EMP0079,HR,56,872823,20,31.7,60,No
EMP0080,HR,26,612216,10,56.0,81,No
EMP0081,IT,57,787809,14,60.0,60,No
EMP0082,IT,57,494093,0,47.1,59,No
EMP0083,HR,26,1149778,0,37.3,54,No
EMP0084,Finance,46,1726265,20,32.4,62,No
EMP0085,HR,45,930212,15,51.3,57,No
EMP0086,Sales,46,1773010,17,35.9,88,Yes
EMP0087,Sales,52,1470978,1,41.8,58,No
EMP0088,Finance,32,421127,3,49.4,66,No
EMP0089,Marketing,25,588015,5,56.2,58,No
EMP0090,Marketing,44,729212,1,49.7,71,No
EMP0091,HR,22,1547594,2,32.1,82,No
EMP0092,IT,49,1438733,2,34.1,83,No
EMP0093,Operations,21,463456,11,58.3,79,No
EMP0094,Sales,57,1363522,20,30.6,100,Yes
EMP0095,IT,23,940211,18,53.9,50,No
EMP0096,Marketing,41,1179573,7,30.8,56,No
EMP0097,Finance,23,939581,8,38.2,76,No
EMP0098,HR,24,1405128,4,46.9,58,No
EMP0099,Sales,47,864984,14,50.5,74,No
EMP0100,HR,28,482578,10,43.3,85,Yes
EMP0101,Sales,33,1784754,20,58.1,76,No
EMP0102,Marketing,58,1538232,10,40.6,48,No
EMP0103,HR,47,511980,8,32.2,69,No
EMP0104,HR,36,1160250,14,36.7,59,No
EMP0105,Finance,54,506221,6,31.8,44,No
EMP0106,HR,32,1286219,11,49.3,87,Yes
EMP0107,Operations,54,1227544,6,43.3,80,No
EMP0108,Marketing,48,890553,9,52.2,69,No
EMP0109,Operations,40,1773100,7,54.6,76,No
EMP0110,HR,47,338540,0,50.1,78,No
EMP0111,Sales,59,971811,0,31.7,69,No
EMP0112,Sales,32,1158125,7,44.3,81,No
EMP0113,HR,36,1674346,3,38.7,87,No
EMP0114,Sales,29,757887,11,39.8,58,No
EMP0115,HR,59,541503,7,31.4,46,No
EMP0116,Sales,41,564829,8,31.9,81,No
EMP0117,Sales,46,593386,8,55.6,81,No
EMP0118,Operations,22,945713,16,33.4,63,No
EMP0119,Finance,51,1274851,16,59.1,81,No
EMP0120,Sales,36,1197335,15,35.6,81,No
EMP0121,HR,58,1146464,4,31.2,73,No
EMP0122,Operations,24,1476085,8,48.5,70,No
EMP0123,IT,50,758091,0,52.0,45,No
EMP0124,Operations,23,1531852,1,49.6,84,No
EMP0125,IT,33,1013621,2,54.8,92,No
EMP0126,Sales,47,645372,8,40.0,43,No
EMP0127,Operations,51,861069,7,57.4,86,No
EMP0128,IT,60,1475204,9,34.1,67,No
EMP0129,Finance,49,261227,9,36.1,86,Yes
EMP0130,Operations,44,1298578,13,55.2,48,No
EMP0131,Marketing,37,1275085,10,51.2,57,No
EMP0132,IT,31,1386064,18,44.0,60,No
EMP0133,Operations,25,786732,2,51.3,33,No
EMP0134,Finance,45,747448,4,56.2,56,No
EMP0135,Marketing,26,444448,7,40.5,73,No
EMP0136,IT,26,254057,11,35.0,82,No
EMP0137,Operations,26,1049450,3,40.4,50,No
EMP0138,Finance,46,596002,19,49.1,56,No
EMP0139,Operations,43,576938,9,53.6,54,No
EMP0140,Sales,42,795802,9,40.3,90,Yes
EMP0141,Operations,22,489849,8,44.3,79,No
EMP0142,Finance,35,369415,9,40.8,61,No
EMP0143,IT,23,1605854,5,46.7,100,No
EMP0144,IT,48,1576188,9,40.2,47,No
EMP0145,Sales,38,1509147,4,31.9,55,No
EMP0146,Finance,34,1180742,14,36.4,71,No
EMP0147,Finance,25,1555574,11,38.9,66,No
EMP0148,Operations,24,1516764,13,52.7,53,No
EMP0149,IT,34,437441,11,47.0,64,No
EMP0150,Finance,21,1542381,15,59.6,33,No
EMP0151,Operations,44,852633,2,57.3,52,No
EMP0152,Marketing,49,1670967,19,45.8,61,No
EMP0153,Marketing,33,856248,14,58.6,69,No
EMP0154,Sales,33,883249,9,40.3,72,No
EMP0155,Operations,42,959124,15,56.1,73,No
EMP0156,Operations,43,1135086,13,33.0,49,No
EMP0157,Marketing,22,595539,11,47.5,63,No
EMP0158,Operations,53,1053463,3,54.4,91,No
EMP0159,Marketing,59,1368662,1,42.0,62,No
EMP0160,Sales,53,1575719,18,44.0,64,No
EMP0161,IT,39,1433305,15,37.4,42,No
EMP0162,Sales,33,992551,2,50.4,56,No
EMP0163,Finance,27,1204854,2,59.0,73,No
EMP0164,Finance,29,338127,13,57.8,82,No
EMP0165,IT,25,772673,4,35.6,52,No
EMP0166,Operations,52,806896,5,42.4,77,No
EMP0167,IT,45,1015135,12,30.2,67,No
EMP0168,Finance,28,1055261,19,37.5,100,Yes
EMP0169,Sales,40,1562489,6,59.3,82,No
EMP0170,Sales,45,1030049,14,52.3,71,No
EMP0171,Sales,38,1626230,18,36.0,69,No
EMP0172,Marketing,41,703659,14,55.6,73,No
EMP0173,Marketing,35,1507712,2,55.9,85,No
EMP0174,Operations,35,954507,17,59.5,79,No
EMP0175,Finance,53,310293,8,41.0,68,No
EMP0176,Sales,45,1739777,4,44.6,87,No
EMP0177,Marketing,25,1791929,0,40.7,85,No
EMP0178,Finance,35,1199272,14,58.7,61,No
EMP0179,Marketing,59,1269022,10,38.2,100,Yes
EMP0180,HR,33,832341,8,32.6,58,No
EMP0181,Operations,51,723520,16,41.7,82,No
EMP0182,Finance,58,784944,0,33.5,34,No
EMP0183,Operations,38,350806,14,44.3,78,No
EMP0184,Finance,40,1704893,8,47.4,53,No
EMP0185,Marketing,29,1628673,3,52.8,88,No
EMP0186,HR,31,1737170,0,37.4,60,No
EMP0187,IT,39,361624,4,49.6,100,No
EMP0188,Marketing,47,1415611,4,53.8,62,No
EMP0189,IT,60,449792,4,44.4,68,No
EMP0190,Operations,42,501648,6,57.5,90,No
EMP0191,Operations,46,481609,16,48.7,57,No
EMP0192,Operations,34,1206393,13,52.7,62,No
EMP0193,HR,21,1671579,9,55.2,100,Yes
EMP0194,HR,30,354700,15,41.4,73,No
EMP0195,Sales,53,1538078,14,40.3,81,No
EMP0196,IT,41,1370597,19,36.5,75,No
EMP0197,IT,47,1399994,4,39.9,94,No
EMP0198,Operations,28,299559,15,32.5,69,No
EMP0199,Finance,46,1271093,2,46.6,67,No
EMP0200,Operations,31,1092335,13,49.0,82,No
EMP0201,Finance,26,361642,13,38.9,93,Yes
EMP0202,IT,28,560916,13,50.1,37,No
EMP0203,Sales,37,898050,10,48.7,67,No
EMP0204,HR,52,724388,10,30.4,57,No
